Quarter,Coded Quarter,Price,Q1,Q2,Q3
2004-1,0,7.825,1,0,0
2004-2,1,5.910,0,1,0
2004-3,2,6.665,0,0,1
2004-4,3,6.815,0,0,0
2005-1,4,7.187,1,0,0
2005-2,5,7.100,0,1,0
2005-3,6,7.530,0,0,1
2005-4,7,8.830,0,0,0
2006-1,8,11.755,1,0,0
2006-2,9,10.700,0,1,0
2006-3,10,11.550,0,0,1
2006-4,11,12.900,0,0,0
2007-1,12,13.350,1,0,0
2007-2,13,12.540,0,1,0
2007-3,14,14.320,0,0,1
2007-4,15,14.760,0,0,0
2008-1,16,17.990,1,0,0
2008-2,17,17.650,0,1,0
2008-3,18,12.960,0,0,1
2008-4,19,10.790,0,0,0
2009-1,20,13.110,1,0,0
2209-2,21,13.940,0,1,0
2009-3,22,16.450,0,0,1
2009-4,23,16.990,0,0,0