Week,Travel
Jan 4 2004,1.04
Feb 1 2004,0.91
Mar 7 2004,0.92
Apr 4 2004,0.94
May 2 2004,0.92
Jun 6 2004,0.98
Jul 4 2004,1.02
Aug 1 2004,0.96
Sep 5 2004,0.83
Oct 3 2004,0.78
Nov 7 2004,0.79
Dec 5 2004,0.76
Jan 2 2005,0.98
Feb 6 2005,0.90
Mar 6 2005,0.96
Apr 3 2005,0.86
May 1 2005,0.87
Jun 5 2005,0.96
Jul 3 2005,0.92
Aug 7 2005,0.82
Sep 4 2005,0.68
Oct 2 2005,0.71
Nov 6 2005,0.72
Dec 4 2005,0.65
Jan 1 2006,0.85
Feb 5 2006,0.79
Mar 5 2006,0.81
Apr 2 2006,0.79
May 7 2006,0.76
Jun 4 2006,0.82
Jul 2 2006,0.82
Aug 6 2006,0.81
Sep 3 2006,0.66
Oct 8 2006,0.65
Nov 5 2006,0.64
Dec 3 2006,0.62
Jan 7 2007,0.81
Feb 4 2007,0.76
Mar 4 2007,0.80
Apr 1 2007,0.74
May 6 2007,0.75
Jun 3 2007,0.79
Jul 1 2007,0.80
Aug 5 2007,0.72
Sep 2 2007,0.62
Oct 7 2007,0.60
Nov 4 2007,0.58
Dec 2 2007,0.56
Jan 6 2008,0.72
Feb 3 2008,0.68
Mar 2 2008,0.71
Apr 6 2008,0.65
May 4 2008,0.62
Jun 1 2008,0.66
Jul 6 2008,0.66
Aug 3 2008,0.62
Sep 7 2008,0.53
Oct 5 2008,0.49
Nov 2 2008,0.45
Dec 7 2008,0.49
Jan 4 2009,0.61
Feb 1 2009,0.58
Mar 1 2009,0.61
Apr 5 2009,0.55
May 3 2009,0.56
Jun 7 2009,0.59
Jul 5 2009,0.61
Aug 2 2009,0.58
Sep 6 2009,0.48
Oct 4 2009,0.46
Nov 1 2009,0.45
Dec 6 2009,0.45
Jan 3 2010,0.54
Feb 7 2010,0.52
Mar 7 2010,0.54
Apr 4 2010,0.50
May 2 2010,0.53
Jun 6 2010,0.53
Jul 4 2010,0.49
Aug 1 2010,0.48